zipcode,population
15006,423
15007,623
15014,3090
15015,1225
15017,15934
15018,874
15020,165
15024,8624
15025,16298
15028,216
15030,1130
15031,486
15034,1730
15035,1955
15037,10485
15044,27735
15045,4371
15046,2589
15047,107
15049,878
15051,536
15056,1136
15064,256
15065,11463
15071,10794
15075,197
15076,726
15082,194
15084,9995
15086,462
15088,524
15090,23016
15101,25493
15102,29616
15104,8669
15106,19667
15108,40971
15110,5543
15112,2873
15116,14061
15120,18512
15122,19745
15126,7411
15129,10495
15131,7866
15132,21136
15133,6189
15135,5223
15136,22881
15137,9884
15139,6480
15140,3195
15142,1271
15143,21150
15144,4036
15145,6864
15146,27678
15147,17374
15148,2480
15201,12543
15202,19569
15203,10151
15204,8443
15205,21475
15206,29460
15207,10602
15208,9976
15209,12011
15210,26241
15211,10415
15212,27141
15213,27878
15214,13713
15215,12594
15216,22580
15217,27575
15218,13443
15219,16545
15220,17704
15221,30169
15222,5348
15223,6589
15224,10675
15225,993
15226,13511
15227,28466
15228,17691
15229,13575
15232,11764
15233,3994
15234,13480
15235,34545
15236,28574
15237,42561
15238,12944
15239,20603
15241,20732
15243,12952
